,Unnamed: 0,hr,,,Name,weight,mlb_g,height_inches,era,round_sort,round,draft_type,rbi,bats,description,sv,height_feet,pick,year,name_last_first,avg,overall,milb_g,Team,league_full,primary_position,team_abbrev,birth_date,so,throws,league_id,l,w,school,trans_date,sb,signed_sw,round_desc,player_id,team_id,DOB,First,Last,,
5,5,138,,,Earl Williams,220,1,3,-1,1,1,AL,457,R,August Legion Draft,,6,6,1965,"Williams, Earl",0.247,6,N,MIL,National League,P,MIL,7/14/1948,,R,104,,,"Montclair HS (Montclair, NJ)",,2,N,Round 1,124304,144,07/14/48,Earl,Williams,,
13,13,241,,,Rick Monday,200,1,3,-1,1,1,JR,775,L,June Amateur Draft,,6,1,1965,"Monday, Rick",0.264,1,N,KCA,American League,OF,KCA,11/20/1945,,L,103,,,Arizona State,,98,N,Round 1,119246,133,11/20/45,Rick,Monday,,
14,14,0,,,Les Rohr,205,1,5,3.7,1,1,JR,0,L,June Amateur Draft,0,6,2,1965,"Rohr, Les",0,2,N,NYM,National League,P,NYM,3/5/1946,20,L,104,3,2,"West HS (Billings, MT)",,0,N,Round 1,121399,121,03/05/46,Les,Rohr,,
15,15,0,,,Joe Coleman,195,1,3,3.7,1,1,JR,23,R,June Amateur Draft,7,6,3,1965,"Coleman, Joe",0.106,3,N,WAS,American League,P,WAS,2/3/1947,1728,R,103,135,142,Natick HS (MA),,0,N,Round 1,112480,140,02/03/47,Joe,Coleman,,
17,17,40,,,Billy Conigliaro,190,1,0,-1,1,1,JR,128,R,June Amateur Draft,,6,5,1965,"Conigliaro, Billy",0.256,5,N,BOS,American League,OF,BOS,8/15/1947,,R,103,,,Swampscott HS (MA),,9,N,Round 1,112558,111,08/15/47,Billy,Conigliaro,,
18,18,0,,,Rick James,205,1,3,13.5,1,1,JR,0,R,June Amateur Draft,0,6,6,1965,"James, Rick",0,6,N,CHC,National League,P,CHC,10/11/1947,2,R,104,1,0,"Coffee HS (Florence, AL)",,0,N,Round 1,116482,112,10/11/47,Rick,James,,
19,19,61,,,Ray Fosse,215,1,2,-1,1,1,JR,324,R,June Amateur Draft,,6,7,1965,"Fosse, Ray",0.256,7,N,CLE,American League,C,CLE,4/4/1947,,R,103,,,Marion HS (IL),,15,N,Round 1,114326,114,04/04/47,Ray,Fosse,,
21,21,24,,,Eddie Leon,175,1,0,-1,1,1,JR,159,R,June Amateur Draft,,6,9,1965,"Leon, Eddie",0.236,9,N,MIN,American League,SS,MIN,8/11/1946,,R,103,,,Arizona,,7,N,Round 1,117682,142,08/11/46,Eddie,Leon,,
23,23,146,,,Jim Spencer,195,1,2,-1,1,1,JR,599,L,June Amateur Draft,,6,11,1965,"Spencer, Jim",0.25,11,N,LAA,American League,1B,LAA,7/30/1947,,L,103,,,"Andover HS (Glen Burnie, MD)",,11,N,Round 1,122584,108,07/30/47,Jim,Spencer,,
25,25,4,,,Gene Lamont,195,1,1,-1,1,1,JR,14,L,June Amateur Draft,,6,13,1965,"Lamont, Gene",0.233,13,N,DET,American League,C,DET,12/25/1946,,R,103,,,"Hiawatha HS (Kirkland, IL)",,1,N,Round 1,117437,116,12/25/46,Gene,Lamont,,
26,26,11,,,Al Gallagher,180,1,0,-1,1,1,JR,130,R,June Amateur Draft,,6,14,1965,"Gallagher, Al",0.263,14,N,SFG,National League,3B,SF,10/19/1945,,R,104,,,Santa Clara,,7,N,Round 1,114531,137,10/19/45,Al,Gallagher,,
28,28,96,,,Bernie Carbo,175,1,0,-1,1,1,JR,358,L,June Amateur Draft,,6,16,1965,"Carbo, Bernie",0.264,16,N,CIN,National League,3B,CIN,8/5/1947,,R,104,,,"Livonia HS (Garden City, MI)",,26,N,Round 1,111979,113,08/05/47,Bernie,Carbo,,
30,30,0,,,Mike Adamson,185,1,2,7.46,1,1,JR,1,R,June Amateur Draft,0,6,18,1965,"Adamson, Mike",0.333,18,N,PHI,National League,P,PHI,9/13/1947,14,R,104,4,0,"Point Loma HS (San Diego, CA)",,0,N,Round 1,110070,143,09/13/47,Mike,Adamson,,
31,31,0,,,Bill Burbach,215,1,4,4.48,1,1,JR,0,R,June Amateur Draft,0,6,19,1965,"Burbach, Bill",0.085,19,N,NYY,American League,P,NYY,8/22/1947,95,R,103,11,6,"Wahlert HS (Dickeyville, WI)",,0,N,Round 1,111693,147,08/22/47,Bill,Burbach,,
33,33,9,,,Joe Keough,185,1,0,-1,2,2,JR,81,L,June Amateur Draft,,6,1,1965,"Keough, Joe",0.246,21,N,KCA,American League,1B,KCA,1/7/1946,,L,103,,,Mount San Antonio College,,9,N,Round 2,117003,133,01/07/46,Joe,Keough,,
