,Year,Team,GM
0,2021,ARI,Mike Hazen
1,2020,ARI,Mike Hazen
2,2019,ARI,Mike Hazen
3,2018,ARI,Mike Hazen
4,2017,ARI,Mike Hazen
5,2016,ARI,Dave Stewart
6,2015,ARI,Dave Stewart
7,2014,ARI,Dave Stewart
8,2014,ARI,Kevin Towers
9,2013,ARI,Kevin Towers
10,2012,ARI,Kevin Towers
11,2011,ARI,Kevin Towers
12,2010,ARI,Josh Byrnes
13,2009,ARI,Josh Byrnes
14,2008,ARI,Josh Byrnes
15,2007,ARI,Josh Byrnes
16,2006,ARI,Josh Byrnes
17,2005,ARI,Joe Garagiola
18,2004,ARI,Joe Garagiola
19,2003,ARI,Joe Garagiola
20,2002,ARI,Joe Garagiola
21,2001,ARI,Joe Garagiola
22,2000,ARI,Joe Garagiola
23,1999,ARI,Joe Garagiola
24,1998,ARI,Joe Garagiola
25,2021,ATL,Alex Anthopoulos
26,2020,ATL,Alex Anthopoulos
27,2019,ATL,Alex Anthopoulos
28,2018,ATL,Alex Anthopoulos
29,2017,ATL,John Coppolella
30,2016,ATL,John Coppolella
31,2015,ATL,John Hart
32,2014,ATL,Frank Wren
33,2014,ATL,John Hart
34,2013,ATL,Frank Wren
35,2012,ATL,Frank Wren
36,2011,ATL,Frank Wren
37,2010,ATL,Frank Wren
38,2009,ATL,Frank Wren
39,2008,ATL,Frank Wren
40,2007,ATL,John Schuerholz
41,2006,ATL,John Schuerholz
42,2005,ATL,John Schuerholz
43,2004,ATL,John Schuerholz
44,2003,ATL,John Schuerholz
45,2002,ATL,John Schuerholz
46,2001,ATL,John Schuerholz
47,2000,ATL,John Schuerholz
48,1999,ATL,John Schuerholz
49,1998,ATL,John Schuerholz
50,1997,ATL,John Schuerholz
51,1996,ATL,John Schuerholz
52,1995,ATL,John Schuerholz
53,1994,ATL,John Schuerholz
54,1993,ATL,John Schuerholz
55,1992,ATL,John Schuerholz
56,1991,ATL,John Schuerholz
57,1990,ATL,Bobby Cox
58,1989,ATL,Bobby Cox
59,1988,ATL,Bobby Cox
60,1987,ATL,Bobby Cox
61,1986,ATL,Bobby Cox
62,1985,ATL,John Mullen
63,1984,ATL,John Mullen
64,1983,ATL,John Mullen
65,1982,ATL,John Mullen
66,1981,ATL,John Mullen
67,1980,ATL,John Mullen
68,1979,ATL,Bill Lucas
69,1978,ATL,Bill Lucas
70,1977,ATL,Bill Lucas
71,1976,ATL,Eddie Robinson
72,1975,ATL,Eddie Robinson
73,1974,ATL,Eddie Robinson
74,1973,ATL,Eddie Robinson
75,1972,ATL,Paul Richards
76,1971,ATL,Paul Richards
77,1970,ATL,Paul Richards
78,1969,ATL,Paul Richards
79,1968,ATL,Paul Richards
80,1967,ATL,Paul Richards
81,1966,ATL,John McHale
82,1965,MIL,John McHale
83,1964,MIL,John McHale
84,1963,MIL,John McHale
85,1962,MIL,John McHale
86,1961,MIL,John McHale
87,1960,MIL,John McHale
88,1959,MIL,John McHale
89,1958,MIL,John Quinn
90,1957,MIL,John Quinn
91,1956,MIL,John Quinn
92,1955,MIL,John Quinn
93,1954,MIL,John Quinn
94,1953,MIL,John Quinn
95,1952,BSN,John Quinn
96,1951,BSN,John Quinn
97,1950,BSN,John Quinn
98,2021,BAL,Mike Elias
99,2020,BAL,Mike Elias
100,2019,BAL,Mike Elias
101,2018,BAL,Dan Duquette
102,2017,BAL,Dan Duquette
103,2016,BAL,Dan Duquette
104,2015,BAL,Dan Duquette
105,2014,BAL,Dan Duquette
