,PLAYERID,LAST,FIRST,NICKNAME,BIRTHDATE,BIRTH CITY,BIRTH STATE,BIRTH COUNTRY,PLAY DEBUT,PLAY LASTGAME,MGR DEBUT,MGR LASTGAME,COACH DEBUT,COACH LASTGAME,UMP DEBUT,UMP LASTGAME,DEATHDATE,DEATH CITY,DEATH STATE,DEATH COUNTRY,BATS,THROWS,HEIGHT,WEIGHT,CEMETERY,CEME CITY,CEME STATE,CEME COUNTRY,CEME NOTE,BIRTH NAME,NAME CHG,BAT CHG,HOF,Debut Year
0,aardd001,Aardsma,David Allan,David,12/27/1981,Denver,Colorado,USA,4/6/2004,8/23/2015,,,,,,,,,,,R,R,5-Jun,200,,,,,,,,,NOT,2004
1,aaroh101,Aaron,Henry Louis,Hank,2/5/1934,Mobile,Alabama,USA,4/13/1954,10/3/1976,,,,,,,1/22/2021,Atlanta,Georgia,USA,R,R,Jun-00,180,Southview Cemetery,Atlanta,Georgia,USA,,,,,HOF,1954
2,aarot101,Aaron,Tommie Lee,Tommie,8/5/1939,Mobile,Alabama,USA,4/10/1962,9/26/1971,,,28951,30955,,,8/16/1984,Atlanta,Georgia,USA,R,R,3-Jun,190,Catholic Cemetery,Mobile,Alabama,USA,,,,,NOT,1962
3,aased001,Aase,Donald William,Don,9/8/1954,Orange,California,USA,7/26/1977,10/3/1990,,,,,,,,,,,R,R,3-Jun,190,,,,,,,,,NOT,1977
4,abada001,Abad,Fausto Andres,Andy,8/25/1972,Palm Beach,Florida,USA,9/10/2001,4/13/2006,,,,,,,,,,,L,L,1-Jun,184,,,,,,,,,NOT,2001
5,abadf001,Abad,Fernando Antonio,Fernando,12/17/1985,La Romana,La Romana,Dominican Republic,7/28/2010,9/28/2019,,,,,,,,,,,L,L,2-Jun,205,,,,,,,,,NOT,2010
6,abadj101,Abadie,John W.,John,11/04/1850,Philadelphia,Pennsylvania,USA,04/26/1875,06/10/1875,,,,,,,5/17/1905,Pemberton,New Jersey,USA,R,R,Jun-00,192,St. Denis Cemetery,Havertown,Pennsylvania,USA,,,,,NOT,1875
7,abbae101,Abbaticchio,Edward James,Ed,04/15/1877,Latrobe,Pennsylvania,USA,09/04/1897,9/15/1910,,,,,,,1/6/1957,Fort Lauderdale,Florida,USA,R,R,11-May,170,St. Mary Cemetery,Latrobe,Pennsylvania,USA,,,,,NOT,1897
8,abbeb101,Abbey,Bert Wood,Bert,11/11/1869,Essex,Vermont,USA,06/14/1892,09/23/1896,,,,,,,6/11/1962,Colchester,Vermont,USA,R,R,11-May,175,Mountain View Cemetery,Essex Junction,Vermont,USA,,,,,NOT,1892
9,abbec101,Abbey,Charles S.,Charlie,10/14/1866,Falls City,Nebraska,USA,08/16/1893,08/19/1897,,,,,07/21/1897,07/21/1897,4/27/1926,San Francisco,California,USA,L,L,5-08.5,169,Steele Cemetery,Falls City,Nebraska,USA,,,,,NOT,1893
10,abbod101,Abbott,Leander Franklin,Dan,03/16/1862,Portage,Ohio,USA,04/19/1890,05/23/1890,,,,,,,2/13/1930,Ottawa Lake,Michigan,USA,R,R,11-May,190,Weston Cemetery,Weston,Ohio,USA,,,,,NOT,1890
11,abbof101,Abbott,Harry Frederick,Fred,10/22/1874,Versailles,Ohio,USA,4/25/1903,9/20/1905,,,,,8/21/1905,9/9/1905,6/11/1935,Los Angeles,California,USA,R,R,10-May,180,Pierce Brothers' Valhalla Memorial Park,North Hollywood,California,USA,,Harry Frederick Winbigler,,,NOT,1903
12,abbog001,Abbott,William Glenn,Glenn,2/16/1951,Little Rock,Arkansas,USA,7/29/1973,8/8/1984,,,,,,,,,,,R,R,6-Jun,200,,,,,,,,,NOT,1973
13,abboj001,Abbott,James Anthony,Jim,9/19/1967,Flint,Michigan,USA,4/8/1989,7/21/1999,,,,,,,,,,,L,L,3-Jun,200,,,,,,,,,NOT,1989
14,abboj002,Abbott,Jeffrey William,Jeff,8/17/1972,Atlanta,Georgia,USA,6/10/1997,9/29/2001,,,,,,,,,,,R,L,2-Jun,190,,,,,,,,,NOT,1997
15,abbok001,Abbott,Lawrence Kyle,Kyle,2/18/1968,Newburyport,Massachusetts,USA,9/10/1991,8/24/1996,,,,,,,,,,,L,L,4-Jun,200,,,,,,,,,NOT,1991
16,abbok002,Abbott,Kurt Thomas,Kurt,6/2/1969,Zanesville,Ohio,USA,9/7/1993,4/13/2001,,,,,,,,,,,R,R,11-May,180,,,,,,,,,NOT,1993
