Year,Team,GM,HiLvl,MLB.Years,Stat.Years,W,L,WPct,Rank,Playoffs
2021,ARI,Mike Hazen,A,"",1995-1999,0,0,---,5,---
2020,ARI,Mike Hazen,A,"",1995-1999,25,35,0.417,5,dnq
2019,ARI,Mike Hazen,A,"",1995-1999,85,77,0.525,2,dnq
2018,ARI,Mike Hazen,A,"",1995-1999,82,80,0.506,3,dnq
2017,ARI,Mike Hazen,A,"",1995-1999,93,69,0.574,2,Lost in 1st Round (Dodgers)
2016,ARI,Dave Stewart,MLB,1978-1995,1977-1995,69,93,0.426,4,dnq
2015,ARI,Dave Stewart,MLB,1978-1995,1977-1995,79,83,0.488,3,dnq
2014,ARI,Dave Stewart,MLB,1978-1995,1977-1995,64,98,0.395,5,dnq
2014,ARI,Kevin Towers,AAA,"",1982-1989,64,98,0.395,5,dnq
2013,ARI,Kevin Towers,AAA,"",1982-1989,81,81,0.5,2,dnq
2012,ARI,Kevin Towers,AAA,"",1982-1989,81,81,0.5,3,dnq
2011,ARI,Kevin Towers,AAA,"",1982-1989,94,68,0.58,1,Lost in 1st Round (Diamondbacks)
2010,ARI,Josh Byrnes,---,"","",65,97,0.401,5,dnq
2009,ARI,Josh Byrnes,---,"","",70,92,0.432,5,dnq
2008,ARI,Josh Byrnes,---,"","",82,80,0.506,2,dnq
2007,ARI,Josh Byrnes,---,"","",90,72,0.556,1,Lost in NLCS (Colorado)
2006,ARI,Josh Byrnes,---,"","",76,86,0.469,4,dnq
2005,ARI,Joe Garagiola,---,"","",77,85,0.475,2,dnq
2004,ARI,Joe Garagiola,---,"","",51,111,0.315,5,dnq
2003,ARI,Joe Garagiola,---,"","",84,78,0.519,3,dnq
2002,ARI,Joe Garagiola,---,"","",98,64,0.605,1,Lost in 1st Round (Cardinals)
2001,ARI,Joe Garagiola,---,"","",92,70,0.568,1,Won World Series (Yankees)
2000,ARI,Joe Garagiola,---,"","",85,77,0.525,3,dnq
1999,ARI,Joe Garagiola,---,"","",100,62,0.617,1,Lost in 1st Round (Mets)
1998,ARI,Joe Garagiola,---,"","",65,97,0.401,5,dnq
2021,ATL,Alex Anthopoulos,---,"","",0,0,---,1,---
2020,ATL,Alex Anthopoulos,---,"","",35,25,0.583,1,Lost in NLCS (Dodgers)
2019,ATL,Alex Anthopoulos,---,"","",97,65,0.599,1,Lost in 1st Round (Cardinals)
2018,ATL,Alex Anthopoulos,---,"","",90,72,0.556,1,dnq
2017,ATL,John Coppolella,---,"","",72,90,0.444,3,dnq
2016,ATL,John Coppolella,---,"","",68,93,0.422,5,dnq
2015,ATL,John Hart,---,"","",67,95,0.414,4,dnq
2014,ATL,Frank Wren,AA,"",1977-1982,79,83,0.488,2,dnq
2014,ATL,John Hart,---,"","",79,83,0.488,2,dnq
2013,ATL,Frank Wren,AA,"",1977-1982,96,66,0.593,1,Lost in 1st Round (Dodgers)
2012,ATL,Frank Wren,AA,"",1977-1982,94,68,0.58,2,Lost NL Wild-Card Game (Cardinals)
2011,ATL,Frank Wren,AA,"",1977-1982,89,73,0.549,2,dnq
2010,ATL,Frank Wren,AA,"",1977-1982,91,71,0.562,2,Lost in 1st Round (Giants)
2009,ATL,Frank Wren,AA,"",1977-1982,86,76,0.531,3,dnq
2008,ATL,Frank Wren,AA,"",1977-1982,72,90,0.444,4,dnq
2007,ATL,John Schuerholz,---,"","",84,78,0.519,3,dnq
2006,ATL,John Schuerholz,---,"","",79,83,0.488,3,dnq
2005,ATL,John Schuerholz,---,"","",90,72,0.556,1,Lost NLDS (Astros)
2004,ATL,John Schuerholz,---,"","",96,66,0.593,1,Lost in 1st Round (Astros)
2003,ATL,John Schuerholz,---,"","",101,61,0.623,1,Lost in 1st Round (Cubs)
2002,ATL,John Schuerholz,---,"","",101,59,0.631,1,Lost in 1st Round (Giants)
2001,ATL,John Schuerholz,---,"","",88,74,0.543,1,Lost in 1st Round (Diamondbacks)
2000,ATL,John Schuerholz,---,"","",95,67,0.586,1,Lost in 1st Round (Cardinals)
1999,ATL,John Schuerholz,---,"","",103,59,0.636,1,Lost World Series (Yankees)
1998,ATL,John Schuerholz,---,"","",106,56,0.654,1,Lost in 1st Round (Padres)
1997,ATL,John Schuerholz,---,"","",101,61,0.623,1,Lost NLCS (Marlins)
1996,ATL,John Schuerholz,---,"","",96,66,0.593,1,Lost World Series (Yankees)
1995,ATL,John Schuerholz,---,"","",90,54,0.625,1,Won World Series (Indians)
1994,ATL,John Schuerholz,---,"","",68,46,0.596,2,dnq
1993,ATL,John Schuerholz,---,"","",104,58,0.642,1,Lost NLCS (Phillies)
1992,ATL,John Schuerholz,---,"","",98,64,0.605,1,Lost World Series (Blue Jays)
1991,ATL,John Schuerholz,---,"","",94,68,0.58,1,Lost World Series (Twins)
1990,ATL,Bobby Cox,MLB,1968-1969,1968-1969,65,97,0.401,6,dnq
1989,ATL,Bobby Cox,MLB,1968-1969,1968-1969,63,97,0.394,6,dnq
1988,ATL,Bobby Cox,MLB,1968-1969,1968-1969,54,106,0.338,6,dnq
1987,ATL,Bobby Cox,MLB,1968-1969,1968-1969,69,92,0.429,5,dnq
1986,ATL,Bobby Cox,MLB,1968-1969,1968-1969,72,89,0.447,6,dnq
1985,ATL,John Mullen,---,"","",66,96,0.407,5,dnq
1984,ATL,John Mullen,---,"","",80,82,0.494,3,dnq
1983,ATL,John Mullen,---,"","",88,74,0.543,2,dnq
1982,ATL,John Mullen,---,"","",89,73,0.549,1,Lost NLCS (Cardinals)
1981,ATL,John Mullen,---,"","",50,56,0.472,0,dnq
1980,ATL,John Mullen,---,"","",81,80,0.503,4,dnq
1979,ATL,Bill Lucas,---,"","",66,94,0.413,6,dnq
1978,ATL,Bill Lucas,---,"","",69,93,0.426,6,dnq
1977,ATL,Bill Lucas,---,"","",61,101,0.377,6,dnq
1976,ATL,Eddie Robinson,MLB,1942-1957,1942-1957,70,92,0.432,6,dnq
1975,ATL,Eddie Robinson,MLB,1942-1957,1942-1957,67,94,0.416,5,dnq
1974,ATL,Eddie Robinson,MLB,1942-1957,1942-1957,88,74,0.543,3,dnq
1973,ATL,Eddie Robinson,MLB,1942-1957,1942-1957,76,85,0.472,5,dnq
1972,ATL,Paul Richards,MLB,1932-1946,1932-1946,70,84,0.455,4,dnq
1971,ATL,Paul Richards,MLB,1932-1946,1932-1946,82,80,0.506,3,dnq
1970,ATL,Paul Richards,MLB,1932-1946,1932-1946,76,86,0.469,5,dnq
1969,ATL,Paul Richards,MLB,1932-1946,1932-1946,93,69,0.574,1,Lost NLCS (Mets)
1968,ATL,Paul Richards,MLB,1932-1946,1932-1946,81,81,0.5,5,dnq
1967,ATL,Paul Richards,MLB,1932-1946,1932-1946,77,85,0.475,7,dnq
1966,ATL,John McHale,MLB,1943-1948,1943-1948,85,77,0.525,5,dnq
1965,MIL,John McHale,MLB,1943-1948,1943-1948,86,76,0.531,5,dnq
1964,MIL,John McHale,MLB,1943-1948,1943-1948,88,74,0.543,5,dnq
1963,MIL,John McHale,MLB,1943-1948,1943-1948,84,78,0.519,6,dnq
1962,MIL,John McHale,MLB,1943-1948,1943-1948,86,76,0.531,5,dnq
1961,MIL,John McHale,MLB,1943-1948,1943-1948,83,71,0.539,4,dnq
1960,MIL,John McHale,MLB,1943-1948,1943-1948,88,66,0.571,2,dnq
1959,MIL,John McHale,MLB,1943-1948,1943-1948,86,70,0.551,2,dnq
1958,MIL,John Quinn,---,"","",92,62,0.597,1,Lost World Series (Yankees)
1957,MIL,John Quinn,---,"","",95,59,0.617,1,Won World Series (Yankees)
1956,MIL,John Quinn,---,"","",92,62,0.597,2,dnq
1955,MIL,John Quinn,---,"","",85,69,0.552,2,dnq
1954,MIL,John Quinn,---,"","",89,65,0.578,3,dnq
1953,MIL,John Quinn,---,"","",92,62,0.597,2,dnq
1952,BSN,John Quinn,---,"","",64,89,0.418,7,dnq
1951,BSN,John Quinn,---,"","",76,78,0.494,4,dnq
1950,BSN,John Quinn,"","","",,,"",,""
2021,BAL,Mike Elias,NCAA,"",2002-2006,0,0,---,4,---
2020,BAL,Mike Elias,NCAA,"",2002-2006,25,35,0.417,4,dnq
2019,BAL,Mike Elias,NCAA,"",2002-2006,54,108,0.333,5,dnq
2018,BAL,Dan Duquette,---,"","",47,115,0.29,5,dnq
2017,BAL,Dan Duquette,---,"","",75,87,0.463,5,dnq
2016,BAL,Dan Duquette,---,"","",89,73,0.549,2,Lost AL Wild-Card Game (Blue Jays)
2015,BAL,Dan Duquette,---,"","",81,81,0.5,3,dnq
2014,BAL,Dan Duquette,---,"","",96,66,0.593,1,Lost in ALCS (Royals)
2013,BAL,Dan Duquette,---,"","",85,77,0.525,4,dnq
2012,BAL,Dan Duquette,---,"","",93,69,0.574,2,Lost in 1st Round (Yankees)
2011,BAL,Andy MacPhail,---,"","",69,93,0.426,5,dnq
2010,BAL,Andy MacPhail,---,"","",66,96,0.407,5,dnq
2009,BAL,Andy MacPhail,---,"","",64,98,0.395,5,dnq
2008,BAL,Andy MacPhail,---,"","",68,93,0.422,5,dnq
2007,BAL,Andy MacPhail,---,"","",69,93,0.426,4,dnq
2006,BAL,Mike Flanagan,MLB,1975-1992,1972-1992,70,92,0.432,4,dnq
2005,BAL,Jim Beattie,MLB,1978-1986,1976-1986,74,88,0.457,4,dnq
2005,BAL,Mike Flanagan,MLB,1975-1992,1972-1992,74,88,0.457,4,dnq
2004,BAL,Jim Beattie,MLB,1978-1986,1976-1986,78,84,0.481,3,dnq
2004,BAL,Mike Flanagan,MLB,1975-1992,1972-1992,78,84,0.481,3,dnq
2003,BAL,Jim Beattie,MLB,1978-1986,1976-1986,71,91,0.438,4,dnq
2003,BAL,Mike Flanagan,MLB,1975-1992,1972-1992,71,91,0.438,4,dnq
2002,BAL,Syd Thrift,---,"","",67,95,0.414,4,dnq
2001,BAL,Syd Thrift,---,"","",63,98,0.391,4,dnq
2000,BAL,Syd Thrift,---,"","",74,88,0.457,4,dnq
1999,BAL,Frank Wren,AA,"",1977-1982,78,84,0.481,4,dnq
1998,BAL,Pat Gillick,---,"","",79,83,0.488,4,dnq
1997,BAL,Pat Gillick,---,"","",98,64,0.605,1,Lost ALCS (Indians)
